ComponentID,Day,Temperature,Pressure,Vibration,UsageHours,DaysSinceMaintenance,Failure,Maintenance,ComponentHealth
1,194,78.205,34.048,1.832,138,13,0,0,0.784
1,195,78.492,35.609,1.528,68,14,1,1,0.973
1,196,77.952,30.105,1.134,86,1,0,0,0.965
1,197,72.524,30.874,1.006,94,2,0,0,0.943
1,198,73.231,29.678,1.064,102,3,0,0,0.926
1,199,69.735,28.57,1.458,60,4,1,1,0.956
1,200,79.831,33.144,1.246,74,1,0,0,0.915
1,201,71.961,32.813,1.254,82,2,0,0,0.894
1,202,73.981,30.903,1.295,92,3,0,0,0.873
1,203,71.518,30.802,1.335,106,4,0,0,0.838
1,204,73.73,29.578,1.305,121,5,0,0,0.822
1,205,75.024,31.366,1.462,27,6,1,1,0.973
1,206,63.416,29.467,1.032,41,1,0,0,0.943
1,207,76.314,30.002,0.882,59,2,0,0,0.915
1,208,72.212,33.683,1.043,76,3,0,0,0.903
1,209,76.19,32.318,0.994,25,4,1,1,0.926
1,210,74.338,27.299,0.977,42,1,0,0,0.902
1,211,71.252,29.136,0.906,52,2,0,0,0.898
1,212,73.82,31.615,0.926,64,3,0,0,0.888
1,213,72.798,29.643,1.459,83,4,1,1,0.981
1,214,70.889,30.38,0.891,94,1,0,0,0.978
1,215,78.104,31.424,1.207,107,2,0,0,0.962
1,216,73.4,29.56,1.227,57,3,1,1,0.982
1,217,70.096,26.202,0.893,64,1,0,0,0.961
1,218,72.326,31.794,1.14,73,2,0,0,0.936
1,219,73.816,29.173,1.057,82,3,0,0,0.928
1,220,72.666,33.255,1.078,89,4,0,0,0.911
1,221,72.102,30.696,1.115,2,5,1,1,0.919
1,222,71.165,29.577,1.105,17,1,0,0,0.9
1,223,68.857,31.801,0.708,31,2,0,0,0.905
1,224,69.221,28.559,0.803,40,3,0,0,0.898
1,225,70.149,30.547,0.978,55,4,0,0,0.87
1,226,70.522,30.989,0.84,64,5,0,0,0.854
1,227,69.81,31.062,1.081,70,6,0,0,0.855
1,228,72.89,31.499,1.018,77,7,0,0,0.839
1,229,75.068,29.446,1.042,94,8,0,0,0.838
1,230,73.654,31.518,1.476,110,9,0,0,0.814
1,231,78.778,30.58,1.293,116,10,0,0,0.799
1,232,76.688,29.493,1.309,125,11,0,0,0.786
1,233,73.249,31.516,1.566,132,12,0,0,0.774
1,234,75.917,36.895,1.228,138,13,0,0,0.758
1,235,77.18,34.996,1.716,149,14,0,0,0.741
1,236,73.822,27.153,1.506,156,15,0,0,0.718
1,237,75.63,30.784,1.494,170,16,0,0,0.701
1,238,74.695,28.347,1.784,179,17,0,0,0.683
1,239,73.434,33.352,1.823,189,18,0,0,0.666
1,240,73.605,33.636,1.921,205,19,0,0,0.638
1,241,72.151,29.785,1.58,218,20,0,0,0.621
1,242,77.479,32.4,1.861,227,21,0,0,0.596
1,243,74.579,33.702,2.103,241,22,0,0,0.571
1,244,81.335,30.681,2.043,249,23,0,0,0.558
1,245,78.697,34.463,2.228,73,24,1,1,0.956
1,246,74.691,27.963,1.224,88,1,0,0,0.958
1,247,67.991,29.426,1.369,101,2,0,0,0.952
1,248,73.968,26.674,1.478,110,3,0,0,0.936
1,249,68.544,28.645,1.163,128,4,0,0,0.917
1,250,67.567,29.254,1.599,52,5,1,1,0.945
1,251,71.248,28.179,0.868,12,1,1,1,0.939
1,252,67.971,31.509,0.903,19,1,0,0,0.931
1,253,72.012,25.603,0.567,35,2,0,0,0.91
1,254,71.517,29.895,0.707,47,3,0,0,0.915
1,255,67.316,29.228,1.0,58,4,0,0,0.914
1,256,62.641,28.756,1.188,70,5,0,0,0.917
1,257,68.942,26.556,1.184,82,6,0,0,0.901
1,258,71.996,29.275,1.151,95,7,0,0,0.865
1,259,72.96,30.871,1.491,112,8,0,0,0.843
1,260,65.554,36.755,1.467,118,9,0,0,0.84
1,261,77.03,33.203,1.381,134,10,0,0,0.814
1,262,73.126,30.507,1.658,82,11,1,1,0.936
1,263,73.156,31.504,1.155,89,1,0,0,0.934
1,264,72.889,32.114,1.117,51,2,1,1,0.908
1,265,65.157,28.87,0.904,68,1,0,0,0.905
1,266,64.75,29.929,1.148,79,2,0,0,0.893
1,267,68.929,27.921,0.988,97,3,0,0,0.874
1,268,70.482,26.056,1.346,104,4,0,0,0.871
1,269,72.562,30.268,1.473,24,5,1,1,0.924
1,270,71.38,29.588,0.769,33,1,0,0,0.927
1,271,64.038,27.406,0.918,57,2,1,1,0.951
1,272,68.75,29.375,1.022,65,1,0,0,0.94
1,273,68.735,31.423,1.024,77,2,0,0,0.919
1,274,71.333,28.422,0.769,85,3,0,0,0.899
1,275,68.48,30.225,1.06,95,4,0,0,0.881
1,276,71.04,29.285,1.309,108,5,0,0,0.854
1,277,67.477,32.834,1.262,117,6,0,0,0.855
1,278,74.033,28.41,1.001,124,7,0,0,0.839
1,279,68.457,33.999,1.347,137,8,0,0,0.81
1,280,73.348,29.33,1.534,70,9,1,1,0.934
1,281,62.277,30.915,0.757,77,1,0,0,0.928
1,282,66.881,31.734,1.243,83,2,0,0,0.92
1,283,71.576,31.842,1.023,99,3,0,0,0.903
1,284,72.028,30.327,1.34,113,4,0,0,0.884
1,285,71.216,28.881,1.16,11,5,1,1,0.994
1,286,70.2,28.387,0.674,29,1,0,0,0.975
1,287,70.669,26.32,0.874,38,2,0,0,0.952
1,288,71.279,28.302,0.924,46,3,0,0,0.93
1,289,76.048,25.829,0.949,58,4,0,0,0.923
1,290,76.839,25.575,0.963,71,5,0,0,0.906
1,291,72.521,26.476,1.214,84,6,0,0,0.893
1,292,72.696,28.7,1.047,93,7,0,0,0.894
1,293,71.04,31.658,1.078,105,8,0,0,0.859
1,294,73.756,29.982,1.427,111,9,0,0,0.843
1,295,73.013,29.723,1.292,119,10,0,0,0.834
1,296,68.655,27.691,1.385,131,11,0,0,0.818
1,297,75.301,27.107,1.594,137,12,0,0,0.812
1,298,68.879,31.447,1.529,149,13,0,0,0.785
1,299,69.289,34.944,1.475,159,14,0,0,0.747
1,300,78.861,31.315,1.647,177,15,0,0,0.733
1,301,74.127,27.402,1.778,195,16,0,0,0.697
1,302,73.096,33.812,1.907,208,17,0,0,0.67
1,303,74.949,31.902,1.81,54,18,1,1,0.997
1,304,72.372,27.007,1.107,71,1,0,0,0.988
1,305,72.767,28.826,0.907,100,2,1,1,0.971
1,306,73.234,29.11,1.353,114,1,0,0,0.972
1,307,69.47,29.906,1.3,130,2,0,0,0.943
1,308,76.523,33.177,1.58,147,3,0,0,0.892
1,309,71.987,30.423,1.259,160,4,0,0,0.868
1,310,67.049,31.627,1.661,168,5,0,0,0.849
1,311,73.461,33.751,1.728,177,6,0,0,0.851
1,312,74.245,32.774,1.583,27,7,1,1,0.916
1,313,66.937,29.678,0.858,33,1,0,0,0.92
1,314,69.495,29.609,0.725,48,2,0,0,0.895
1,315,68.724,28.411,0.914,65,3,0,0,0.862
1,316,71.472,29.067,1.201,79,4,0,0,0.836
1,317,70.814,29.791,1.1,95,5,1,1,0.918
1,318,76.976,29.265,1.157,106,1,0,0,0.922
1,319,68.359,28.812,1.148,6,2,1,1,0.995
1,320,68.088,28.13,1.04,21,1,0,0,0.978
1,321,73.357,25.89,0.885,34,2,0,0,0.95
1,322,72.461,30.03,1.023,48,3,0,0,0.949
1,323,70.611,29.054,0.617,62,4,0,0,0.931
1,324,71.694,29.594,1.058,70,5,0,0,0.915
1,325,70.665,30.2,1.116,76,6,0,0,0.889
1,326,73.671,30.101,0.986,90,7,0,0,0.857
1,327,72.307,34.053,1.275,97,8,0,0,0.828
1,328,75.054,28.589,1.426,8,9,1,1,0.992
1,329,77.539,27.418,0.575,23,1,0,0,0.964
1,330,73.299,27.171,0.462,30,2,0,0,0.949
1,331,74.005,28.821,0.954,46,3,0,0,0.935
1,332,72.487,29.03,1.207,55,4,0,0,0.942
1,333,73.302,31.263,1.102,67,5,0,0,0.919
1,334,66.154,31.37,1.25,74,6,0,0,0.914
1,335,74.189,30.862,0.764,89,7,0,0,0.896
1,336,74.831,32.61,1.144,98,8,0,0,0.89
1,337,71.453,32.435,1.186,76,9,1,1,0.973
1,338,69.12,30.531,1.007,82,1,0,0,0.969
1,339,75.2,30.47,0.967,97,2,0,0,0.966
1,340,68.941,27.18,1.484,104,3,0,0,0.964
1,341,73.54,32.385,1.608,116,4,0,0,0.938
1,342,71.889,32.973,1.443,132,5,0,0,0.928
1,343,73.206,36.117,1.594,72,6,1,1,0.954
1,344,74.765,31.588,1.104,86,1,0,0,0.929
1,345,73.248,30.931,1.236,97,2,0,0,0.913
1,346,77.095,26.866,1.182,107,3,0,0,0.908
1,347,72.84,29.067,1.071,116,4,0,0,0.907
1,348,77.492,29.695,1.302,132,5,0,0,0.893
1,349,77.552,33.952,1.555,149,6,0,0,0.857
1,350,75.472,31.792,1.482,160,7,0,0,0.841
1,351,78.195,36.759,1.788,169,8,0,0,0.819
1,352,74.394,31.703,1.594,179,9,0,0,0.816
1,353,76.771,35.919,1.544,191,10,0,0,0.796
1,354,79.15,34.968,1.604,199,11,0,0,0.776
1,355,81.094,36.33,1.866,82,12,1,1,0.937
1,356,73.503,31.23,0.996,58,1,1,1,0.932
1,357,73.425,30.013,1.101,69,1,0,0,0.913
1,358,77.307,32.636,0.97,87,2,0,0,0.891
1,359,77.209,29.156,1.129,94,3,0,0,0.9
1,360,81.664,33.805,1.204,100,4,0,0,0.885
1,361,74.799,29.447,1.247,113,5,0,0,0.851
1,362,78.793,34.323,1.183,128,6,0,0,0.83
1,363,77.098,32.966,1.319,143,7,0,0,0.804
1,364,81.68,36.575,1.573,150,8,0,0,0.782
1,365,82.363,35.124,1.479,157,9,0,0,0.765
2,1,97.178,44.747,3.236,564,7,0,0,0.984
2,2,104.665,44.024,3.409,16,8,1,1,0.962
2,3,86.493,32.842,0.665,27,1,0,0,0.957
2,4,86.365,30.792,0.638,34,2,0,0,0.955
2,5,87.111,33.31,1.056,43,3,0,0,0.947
2,6,86.019,35.372,0.785,54,4,0,0,0.937
2,7,88.132,31.22,0.969,64,5,0,0,0.921
2,8,88.604,30.257,1.175,72,6,0,0,0.921
2,9,88.758,32.183,1.393,85,7,0,0,0.905
2,10,92.102,36.258,1.162,99,8,0,0,0.89
2,11,94.105,34.112,1.451,116,9,0,0,0.873
2,12,91.836,35.025,1.017,126,10,0,0,0.863
2,13,96.005,32.642,1.53,141,11,0,0,0.815
2,14,91.052,36.219,1.412,159,12,0,0,0.786
2,15,90.89,35.433,1.868,67,13,1,1,0.922
2,16,88.38,31.752,0.946,73,1,0,0,0.911
2,17,87.871,33.348,1.229,89,2,0,0,0.881
2,18,90.05,29.765,0.919,103,3,0,0,0.863
2,19,94.593,33.794,1.243,113,4,0,0,0.846
2,20,103.538,30.781,1.558,129,5,0,0,0.822
2,21,92.864,33.374,1.325,136,6,0,0,0.808
2,22,93.544,33.91,1.626,144,7,0,0,0.802
2,23,97.614,35.978,1.341,154,8,0,0,0.769
2,24,93.998,39.062,1.65,161,9,0,0,0.759
2,25,90.793,34.139,1.791,168,10,0,0,0.751
2,26,93.665,33.244,1.568,70,11,1,1,0.993
2,27,90.919,31.354,1.108,78,1,0,0,0.989
2,28,92.87,35.669,1.097,36,2,1,1,0.966
2,29,84.394,30.199,0.928,51,1,0,0,0.943
2,30,86.717,35.978,0.848,60,2,0,0,0.938
2,31,92.879,30.692,0.939,77,3,0,0,0.925
2,32,88.533,35.356,1.137,88,4,0,0,0.899
2,33,92.938,35.564,1.129,97,5,0,0,0.874
2,34,94.069,35.149,1.304,113,6,0,0,0.84
2,35,92.721,36.317,1.236,129,7,0,0,0.819
2,36,89.382,36.675,1.258,139,8,0,0,0.799
2,37,97.41,35.017,1.29,153,9,0,0,0.785
2,38,96.133,38.784,1.531,166,10,0,0,0.771
2,39,95.991,40.607,1.694,6,11,1,1,0.997
2,40,90.513,32.504,0.666,13,1,0,0,0.972
2,41,91.748,29.045,0.885,29,2,0,0,0.964
2,42,89.209,31.3,0.623,41,3,0,0,0.954
2,43,91.518,33.074,0.962,51,4,0,0,0.929
2,44,86.124,34.619,0.897,57,5,0,0,0.92
2,45,89.013,37.763,0.986,63,6,0,0,0.897
2,46,95.16,35.874,1.076,74,7,0,0,0.884
2,47,86.902,36.366,1.057,92,8,0,0,0.866
2,48,91.362,35.256,1.138,100,9,0,0,0.84
2,49,89.606,36.694,1.408,116,10,0,0,0.808
2,50,92.568,34.183,1.214,20,11,1,1,0.997
2,51,89.266,32.495,0.714,37,1,0,0,0.976
2,52,89.673,33.659,0.956,50,2,0,0,0.961
2,53,88.477,36.1,0.842,90,3,1,1,0.983
2,54,94.46,36.144,1.08,102,1,0,0,0.976
2,55,84.292,34.452,1.105,116,2,0,0,0.967
2,56,95.455,35.039,1.18,122,3,0,0,0.953
2,57,93.259,34.697,1.09,129,4,0,0,0.957
2,58,95.669,34.77,1.162,136,5,0,0,0.951
2,59,91.13,35.432,1.257,153,6,0,0,0.942
2,60,98.161,38.431,1.453,161,7,0,0,0.924
2,61,97.417,32.857,1.552,175,8,0,0,0.924
2,62,96.515,38.163,1.484,47,9,1,1,0.967
2,63,90.454,36.091,0.984,62,1,0,0,0.955
2,64,90.694,33.123,1.204,76,2,0,0,0.956
2,65,95.851,35.472,1.078,84,3,0,0,0.939
2,66,98.782,32.526,1.076,16,4,1,1,0.958
2,67,90.76,39.273,0.54,22,1,0,0,0.964
2,68,94.174,37.557,0.727,32,2,0,0,0.962
2,69,88.855,32.606,1.102,5,3,1,1,0.932
2,70,96.713,31.848,0.766,16,1,0,0,0.914
2,71,90.141,34.401,0.602,87,2,1,1,0.985
2,72,94.707,33.323,1.032,96,1,0,0,0.975
2,73,92.835,34.218,1.277,112,2,0,0,0.948
2,74,95.041,33.257,1.094,119,3,0,0,0.927
2,75,91.651,36.566,1.532,130,4,0,0,0.923
2,76,95.157,34.034,1.523,71,5,1,1,0.996
2,77,92.52,32.814,1.267,79,1,1,1,0.959
2,78,94.054,37.367,1.108,96,1,0,0,0.956
2,79,96.065,35.814,1.261,104,2,0,0,0.953
2,80,93.382,36.521,1.548,113,3,0,0,0.955
2,81,96.423,37.726,1.405,121,4,0,0,0.948
2,82,94.407,35.116,1.378,22,5,1,1,0.951
2,83,92.969,32.049,0.58,34,1,0,0,0.937
2,84,88.548,38.187,0.778,40,2,0,0,0.914
2,85,96.579,38.025,0.737,48,3,0,0,0.899
2,86,94.829,34.949,0.822,65,4,0,0,0.888
2,87,90.771,35.216,1.267,76,5,0,0,0.871
2,88,90.414,33.967,1.075,94,6,0,0,0.852
2,89,95.795,36.918,1.327,106,7,0,0,0.833
2,90,92.564,36.021,1.177,124,8,0,0,0.805
2,91,93.593,35.817,1.808,94,9,1,1,0.99
2,92,92.152,34.232,1.252,112,1,0,0,0.984
2,93,97.897,36.095,1.396,121,2,0,0,0.97
2,94,97.226,37.119,1.098,131,3,0,0,0.935
2,95,90.227,36.434,1.34,139,4,0,0,0.922
2,96,91.71,36.32,1.25,157,5,0,0,0.906
2,97,94.0,37.055,1.655,174,6,0,0,0.864
2,98,92.436,36.386,1.635,48,7,1,1,0.952
2,99,89.998,31.81,1.098,54,1,0,0,0.947
2,100,97.853,29.362,0.895,67,2,0,0,0.944
2,101,91.898,34.439,1.184,76,3,0,0,0.928
2,102,89.209,36.053,1.07,85,4,0,0,0.926
2,103,95.129,34.299,1.294,98,5,0,0,0.904
2,104,94.875,35.952,1.246,109,6,0,0,0.886
2,105,91.428,39.092,1.19,119,7,0,0,0.883
2,106,89.817,33.927,1.481,29,8,1,1,0.903
2,107,95.35,32.879,0.616,38,1,0,0,0.906
2,108,96.362,32.057,0.959,44,2,0,0,0.892
2,109,92.424,34.141,1.06,60,3,0,0,0.89
2,110,88.825,35.262,0.907,69,4,0,0,0.88
2,111,95.998,35.476,1.361,81,5,0,0,0.853
2,112,94.359,33.655,0.983,92,6,0,0,0.851
2,113,91.608,35.916,1.003,102,7,0,0,0.848
2,114,95.883,40.316,1.109,109,8,0,0,0.826
2,115,96.698,35.432,1.224,35,9,1,1,0.95
2,116,93.773,35.635,1.072,46,1,0,0,0.949
2,117,91.405,35.151,0.956,62,2,0,0,0.949
2,118,89.959,35.746,1.352,76,3,0,0,0.929
2,119,90.241,36.435,0.861,88,4,0,0,0.929
2,120,91.267,32.292,1.064,104,5,0,0,0.897
2,121,94.551,36.028,1.403,118,6,0,0,0.887
2,122,94.578,33.591,1.461,3,7,1,1,0.98
2,123,89.633,33.832,0.913,10,1,0,0,0.972
2,124,92.999,31.111,0.929,20,2,0,0,0.951
2,125,89.576,35.67,0.788,28,3,0,0,0.94
2,126,92.036,36.529,0.927,43,4,0,0,0.898
2,127,88.664,37.035,1.047,53,5,0,0,0.877
2,128,96.186,32.549,0.816,59,6,0,0,0.857
2,129,92.127,34.014,0.962,66,7,0,0,0.843
2,130,92.126,41.396,1.538,81,8,0,0,0.813
